bugurt,prompt
"СЛАВНЫЙ ТЯТЯ МОЙ ГОТОВИТ ВОИСТИНУ БОЖЕСТВЕННЫЕ ЯСТВА, КТО ЖЕ СОМНЕВАЕТСЯ В ЭТОМ?   
@   
СКОЛЬКО БЫ РАЗНОВИДНОСТЕЙ НИ БЫЛО, Я ВАМ ОПИСАТЬ ОДНУ ИЗ НИХ ПОПРОБУЮ   
@   
НЕ ГРЕЕТ ОН СУП, ГРЕТЬ - НЕ ЕГО ПРИВЫЧКА   
@   
ОН СУП ВОЗЬМЁТ И НА ЛАТКУ ВЫЛОЖИТ, НАЧНЁТ ЖАРИТЬ, ЛУК И ЧЕСНОК ТОНКО НАРЕЖЕТ И ВСЫПЛЕТ В СУП   
@   
ДОБАВИТ ПЕРЦА КРАСНОГО И ЧЁРНОГО, МУКУ ДЛЯ ВЯЗКОСТИ, СВЕРХУ ГОРЧИЦЕЙ ПОСЫПЕТ   
@   
И ЖАРИТ ОН СУП ДО ДЫМА   
@   
СНИМАЕТ С ОГНЯ, ОСТУЖАЕТ В СЕНЯХ, ЗАТЕМ ТЯТЯ ЗАНОСИТ И, ЩЕДРО ПОЛИВ СМЕТАНОЙ, НАЧИНАЕТ ЕСТЬ   
@   
ОН ЕСТ С ЛАТКИ, ЛОЖКОЙ ШКРЯБАЕТ И ПРИГОВАРИВАЕТ ПОЛУШЁПОТОМ ""УХ, НЕЧИСТАЯ!""   
@   
ПРИ ЭТОМ НА ЛБУ ЕГО ПОТ ПОТА ВЫСТУПАЕТ   
@   
СКРОМНО МНЕ ИНОГДА ПРЕДЛАГАЕТ, НО Я ОТКАЗЫВАЮСЬ, ИБО ЗНАЮ, КАКИЕ ДИЧАЙШИЕ ГАЗЫ ПОТОМ ВЫЙДУТ   
@   
СМРАД ТАКОЙ, ЧТО КОРА ОТ БРЁВЕН ОТДИРАТЬСЯ НАЧИНАЕТ",
"ЛИЗЬ  
@  
ЛИЗЬ  
@  
ЛИЗЬ  
@  
ЦАПБЛЯСУКЗАГРЫЗУНАХ!!!  
@  
#кошкобугурт",
"СТОИШЬ НА ОСТАНОВКЕ  
@  
К ТЕБЕ ПОДХОДИТ ОБЪЕКТ  
@  
РОСТОМ С ТАБУРЕТ  
@  
ТОЛЩИНОЙ С МИЗИНЕЦ  
@  
НОС ДЛИННЕЕ СТОЛЕТНЕЙ ВОЙНЫ  
@  
КОЖА ЦВЕТА ГОВНА С ПОДЛИВОЙ  
@  
ТРИ ВОЛОСИНЫ НА БАШКЕ  
@  
МЯТАЯ КОСУХА БУДТО СТИРАЛИ В БЛЕНДЕРЕ  
@  
- БРАД  
@  
- БРАДАН  
@  
ИЗВИНИ НЕ МЕШАЮ ПРОСТИ СЧАСТЬЯ ТЕБЕ ЗДОРОВЬЯ ЩА МИНУТУ ВСЕЙ ТВОЕЙ СЕМЬЕ ДЕНЕГ УДАЧИ БЛАГОПОЛУЧИЯ ПОГОДЬ ПЯТЬ СЕК ДОЛГОЙ ЖИЗНИ И ПРИВЕТ МАМЕ СОРИ ЧТО ОТВЛЕКАЮ  
@  
ТУТ ТАКАЯ СИТУАЦИЯ КОРОЧЕ ПОНИМАЕШЬ НУЖДА ЭТО САМОЕ Я Ж НЕ ПРОСТО ТАК ПО ДЕЛУ ИНАЧЕ БЫ НЕ ОБРАЩАЛСЯ НО ТИПА ТЫ ПОНИМАЕШЬ ОКЕЙ ХОРОШО ЛАДНО АГА ДА  
@  
РАБОТАЮ НА ПОМОЙКЕ НАСЯЛЬНИК ИБЛАН ЖЕНА РОЖАЕТ 50 ДЕТЕЙ ГОЛОДАЮТ МАТЬ УМИРАЕТ ГАВНОЙ ВОНЯЕТ В ХОЛОДИЛЬНИКЕ ПУСТО НУЖНА КАПУСТА  
@  
НАУШНИКИ КУПИШЬ?   
@  
нет  
@  
СЛЫШЪ ТЫ ЛЕ НОРМАЛЬНО РАЗГОВАРИВАЙ ЕЖЖИ ЧТОБ У ТЕБЯ РОТ ЗАРОС ПРОБИЛ ПОНОС ПРОПАЛА РЕЧЬ ПРОТУХЛА ГРЕЧЬ МАМКУ СЖЕЧЬ ОТЦОВ СЕЧЬ ДЕД В БАБКЕ ЗАСТРЯЛ ГОЛУБЬ В СУП НАСРАЛ  
@  
ПЕРЕХОДИТ К ДРУГОМУ ЧЕЛУ НА ОСТАНОВКЕ  
@  
#тотальныйбугурт",
"ЕРОХИН ГОВОРИТ, ЧТО ОН ФУТ-ФЕТИШИСТ  
@  
ВСЕ СМЕЮТСЯ, ТЯНОЧКИ НА СЛЕДУЮЩИЙ ДЕНЬ НАДЕЛИ ЧУЛКИ И БОСОНОЖКИ, СТОЯТ В ОЧЕРЕДИ, ЧТОБЫ ПРЕДЛОЖИТЬ ПРОВЕСТИ НОЖКОЙ ПО ЕРОХИНСКОМУ БЕДРУ  
@  
СЛАВИК СЫЧЁВ ОДНАЖДЫ ОБМОЛВИЛСЯ, ЧТО ОН ГЕТЕРОСЕКСУАЛ  
@  
ПОГОНЯЛО ""ПЕДИК"" ДО КОНЦА ЖИЗНИ",
"ТЫ БУКВАЛЬНО БОГ ВО ПЛОТИ  
@  
ВСЕЛЕННАЯ ПОДЧИНЯЕТСЯ ТЕБЕ  
@  
ТЫ СПОСОБЕН ВЕРШИТЬ ЧЕЛОВЕЧЕСКИЕ СУДЬБЫ  
@  
МОЖЕШЬ ИЗМЕНИТЬ СУТЬ МИРОЗДАНИЯ В ЛЮБОЙ МОМЕНТ  
@  
НО ТЫ ПОКА ЕЩЕ НЕ НАУЧИЛСЯ СВИСТЕТЬ   
@  
#ракобугурт",
"ПРОСЫПАЕШЬСЯ  
@  
СЪЕДАЕШЬ ЯИЧНИЦУ  
@  
ВЫПИВАЕШЬ КОФЕ  
@  
КУРИШЬ  
@  
ОДЕВАЕШЬСЯ  
@  
ИДËШЬ СРАТЬ",
"ОБЫЧНЫЙ СРЕДНЕСТАТИСТИЧЕСКИЙ ЧЕЛОВЕК  
@  
НЕ СЛИШКОМ СОЦИАЛЬНЫЙ, НО И НЕ СОВСЕМ ЗАКРЫТЫЙ  
@  
ИМЕЕШЬ 5-10 ДРУЗЕЙ  
@  
НЕ СЛИШКОМ ХОРОШ И НЕ СЛИШКОМ ПЛОХ В УЧЕБЕ  
@  
ТВОЯ ВНЕШНОСТЬ НЕ СВИНСКАЯ, НО И НЕ МОДЕЛЬНАЯ  
@  
ЕСЛИ С ТОБОЙ ЗАВОДЯТ РАЗГОВОР, ТЫ СПОСОБЕН ЕГО РАЗВИТЬ  
@  
ЕСЛИ К ТЕБЕ ОБРАЩАЮТСЯ ЗА ПОМОЩЬЮ И ТЕБЕ НЕ СЛОЖНО, ТЫ ПОМОГАЕШЬ  
@  
В ПРИНЦИПЕ НИЧЕМ НЕ ОТЛИЧАЕШЬСЯ ОТ ОСТАЛЬНЫХ ЛЮДЕЙ  
@  
УВИДЕЛ ГРУППУ ""БУГУРТ ТРЕД""  
@  
""ХАХАХА Я ТАКОЙ СЫЧ НАРОД КАПЕЕЕЦ, СЫЧОМ БЫТЬ СЛОЖНО, ВОТ ЭТО Я ХИККА ЗАДРОТ""",
"ТЫ ТИПИЧНЫЙ СЫЧ - ПИНОККИО  
@  
ЖИДКО ПОПЕРДЫВАЯ, ПЫТАЕШЬСЯ СТАТЬ ИРЛ МАЛЬЧИКОМ  
@  
ИЗВЛЕКАЕШЬ ИЗ ВСЕГО МОРАЛЬ  
@  
БАХНУВ ПИВКА, ПРЕВРАЩАЕШЬСЯ В ОСЛИНУ  
@  
УБИВАЕШЬ МОЛОТКОМ ЕДИНСТВЕННОГО, КТО НАСТАВЛЯЛ ТЕБЯ  
@  
СТРЕМАЕШЬСЯ ТОГО, ЧТО ТЫ ЧУРКА  
@  
@  
ТЫ ТИПИЧНЫЙ ЕРОХА-БУРАТИНО, ЗАКАЛЕННЫЙ СОВЕТСКИМ СОЮЗОМ  
@  
ТЕБЯ АБСОЛЮТНО НЕ ЕБЕТ ТВОЯ НАЦИОНАЛЬНОСТЬ  
@  
ВСЯ ХУЙНЯ, ВЫТВОРЕННАЯ ТОБОЙ, СХОДИТ ТЕБЕ С РУК  
@  
КОГДА ВРЕШЬ, ВЫРАСТАЕТ НЕ НОС, А ШИШКА  
@  
ЖРЕШЬ ЛУК  
@  
ПОРТИШЬ ПРЕДМЕТЫ ИСКУССТВА  
@  
МАЛЬВИНА ЛЮБИТ ТВОЕ ПОЛЕНО  
@  
ОТГРЕБАЕШЬ СЕБЕ ЦЕЛЫЙ ТЕАТР  
@  
КАРАБАС, ОСТАВЛЯЯ ЗА СОБОЙ КОРИЧНЕВЫЙ СЛЕД, УБЕГАЕТ ОТ ТЕБЯ В СТРАХЕ, ВЕДЬ «ВАЙ, БРАТУХА, НЭ ПО ПАЦАНСКЕ ПОСТУПАЕШЬ С КУКЛАМИ ЛЕЕЕЕ»",
"ТЫ СЫЧ  
@  
ПАРИШЬ  
@  
ДОХУЯ БОЛЯЧЕК, В ТОМ ЧИСЛЕ ГАНГРЕНА БОЛЬШОГО ПАЛЬЦА ЛЕВОЙ НОГИ, ПЕРЕЛОМ ПИЗДЫ СО СМЕЩЕНИЕМ  
@  
ОТ ТЕБЯ ОЧЕНЬ СИЛЬНО ВОНЯЕТ, ИЗ ЗА ЧЕГО ВСЕ ТЯН ОБХОДЯТ ТЕБЯ ЗА КИЛОМЕТР  
@  
ЛЮБОЙ ДЕВАЙС ВЫДАЕТ МАЛО ПАРА  
@  
СКОНЧАЛСЯ В 30 ЛЕТ  
  
ТЫ ЕРОХА  
@  
ПАРИШЬ  
@  
ВРАЧИ, СМОТРЯ ТВОИ АНАЛИЗЫ, ГОВОРЯТ МАЛАЦА  
@  
ИЗ-ЗА ПЕРЕХОДА НА ПАРЕНИЕ СТАЛ МАРАФОНЦЕМ, БЕРЕШЬ ЗОЛОТО, НЕ ЗА ГОРАМИ ТИТУЛЫ И ИЗВЕСТНОСТЬ  
@  
ВЫДЫХАЯ ПАР ТЯНКЕ ПРЯМО В ЛИЦО, В ОТВЕТ ОНИ МИЛО ХИХИКАЮТ  
@  
СПОСОБЕН ЗАПАРИТЬ КОМНАТУ НА МИНИКАНЕ  
@  
ПРОЖИЛ СЧАСТЛИВУЮ ЖИЗНЬ ВЫРАСТИВ ДЕТЕЙ И ВНУКОВ",
"БОРЕБУХ 41ЛВЛ  
@  
ПЬЁШЬ ПИВАС С ДРУГИМИ БУМЕРАМИ  
@  
ВКАЛЫВАЕШЬ НА ЗАВОДЕ  
@  
ОЧЕНЬ СИЛЬНО МЕЧТАЕШЬ ПОЗНАКОМИТЬСЯ С ВУМАН  
@  
НИЧЕГО НЕ ПОЛУЧАЕТСЯ  
@  
#бургут  
@  
ЕЩЕ БОЛЬШЕ ВКАЛЫВАЕШЬ НА ЗАВОДЕ   
@  
ПОЛУЧАЕШЬ 6 РАЗРЯД ТОКАРЯ  
@  
ЕДЕШЬ В БОЛЬШОЙ ГОРОД  
@  
ВСТРЕЧАЕШь ЗУМЕРШу  
@  
ОНА ДУМАЕТ ЧТО ТЫ ДОХУЯ БОГАТЫЙ  
@  
#антибургут  
@  
ОБЩАЕТЕСЬ  
@  
ЗАНИМАЕТЕСЬ НЕПОТРЕБСТВОМ  
@  
ОНА РОЖАЕТ ТЕБЕ 12 ДЕТЕЙ  
@  
ПРОСЫПАЕШЬСЯ...  
@  
#тотальныйбургут",
"ЕРОХА РЕШИЛ ПОСМОТРЕТЬ КУРСЫ НА ЮТУБЕ  
@  
НАУЧИЛСЯ РАСЩЕПЛЯТЬ АТОМ В МИКРОВОЛНОВКЕ  
@  
ГОТОВИТЬ БЛЮДА ЛУЧШЕ ШЕФА РАМЗИ  
@  
ПОДКАТЫВАТЬ К ЛЮБЫМ ТЯНКАМ И СКЛОНЯТЬ ИХ К СЕКСУ ЗА 2 МИНУТЫ РАЗГОВОРА  
@  
СЫЧ РЕШИЛ ПОСМОТРЕТЬ КУРСЫ НА ЮТУБЕ  
@  
#пикрил",
"ВИДИШЬ ФОТО ТЯН В ДОМАШНЕЙ ОДЕЖДЕ   
@  
ДУМАЕШЬ, ЧТО ОНА ПОХОЖА НА БОМЖИХУ ИЗ ЗА НЕ ОТСТИРАННЫХ ПЯТЕН НА ПЛАТЬЕ  
@  
ВДРУГ ЧУВСТВУЕШЬ СЕКСУАЛЬНОЕ ЖЕЛАНИЕ К НЕЙ  
@  
СТАНОВИТСЯ СТРАШНО ЗА СВОЮ ПСИХИКУ И РЕШАЕШЬ РАССКАЗАТЬ ПРО ЭТО ДРУЗЬЯМ  
@  
ГОВОРЯТ ТЫ ДИБИЛ ОЗАБОЧЕННЫЙ, ХОЧЕШЬ ЕБИ ЕЁ, НО ЗА СТОЛ БОЛЬШЕ НЕ ПУСТИМ",
"НЕ ПРИНОСИШЬ НИКАКОЙ ПОЛЬЗЫ В ДОМЕ  
@  
ЦЕЛЫЙ ДЕНЬ ТОЛЬКО И ДЕЛАЕШЬ, ЧТО СПИШЬ  
@  
ЦЕЛУЮ НОЧЬ ТОЛЬКО И ДЕЛАЕШЬ, ЧТО СИДИШЬ   
@  
НЕИСТОВО ОРЁШЬ НА ДОТУ/КС/ЛЮБУЮ ДРУГУЮ РАКОВАЛЬНЮ  
@  
СРЁШЬ И ССЫШЬ В БУТЫЛКИ, КОТОРЫЕ ПОТОМ ТВОИМ РОДИТЕЛЯМ ПРИХОДИТСЯ ВЫНОСИТЬ  
@  
ВСЕРЬЁЗ ДУМАЕШЬ, ЧТО ТЕБЯ ВСЕ ЛЮБЯТ",
"ТЫ-ВЕДЬМАК  
@  
ПРОВОДИШЬ 80% СВОЕГО ВРЕМЕНИ В ДОРОГЕ  
@  
ЗА СПИНОЙ ВСЕГДА ТАСКАЕШЬ ТО, ЧТО НУЖНО ТЕБЕ В ТВОЁМ ДЕЛЕ, ПРИЧЁМ ДОВОЛЬНО ТЯЖЁЛОЕ  
@  
ПИТАЕШЬСЯ КАК ПРИДЁТСЯ  
@  
ВЫСЫПАЕШЬСЯ НЕ ЛУЧШЕ, ЧЕМ ПИТАЕШЬСЯ  
@  
ОДЕВАЕШЬСЯ В ТО, ЧТО ВЧЕРА УДАЛОСЬ СНЯТЬ С МЁРТВОГО БОМЖА  
@  
ТВОЁ ЛИЦО ПОКРЫТО ВЗДУВШИМИСЯ ВЕНАМИ  
@  
БАБКИ ПРИ ВИДЕ ТЕБЯ КРЕСТЯТСЯ И УЛЮЛЮКАЮТ ЧТО-ТО ПРО НЕЧИСТУЮ СИЛУ  
@  
МАМАШКИ ХВАТАЮТ ДЕТЕЙ ЗА РУКУ, ДРУГОЙ РУКОЙ ЗАКРЫВАЯ ИМ ГЛАЗА  
@  
ВСЕ ПРОЧИЕ, ЕДВА ЗАВИДЕВ ТЕБЯ, СПЕШАТ ПЕРЕЙТИ НА ДРУГУЮ СТОРОНУ УЛИЦЫ  
@  
В РЕДКОЕ СВОБОДНОЕ ВРЕМЯ НАПИВАЕШЬСЯ ДО БЕСПАМЯТСТВА С ТАКИМИ ЖЕ, КАК САМ  
@  
ИНОГДА ВСЁ, ЧЕГО ТЕБЕ ХОЧЕТСЯ - ЭТО УБИВАТЬ  
@  
НУ ИЛИ БРОСИТЬ ТО, ЧЕМ ТЫ ЗАНИМАЕШЬСЯ   
@  
А НЕТ, ТЫ НЕ ВЕДЬМАК  
@  
ТЫ ОБЫЧНЫЙ СТУДЕНТ - ТРЕТЬЕКУРСНИК",
"РАБОТАЕШЬ НА СУДНЕ  
@  
КУЧА ВАЖНЫХ ДОКУМЕНТОВ  
@  
ИНСПЕКТОРА МИРОВЫХ КЛАССИФИКАЦИОННЫХ СООБЩЕСТВ, ОДОБРЯЮЩИХ ТВОИ СУДОВЫЕ ПЛАНЫ И ДОКУМЕНТЫ   
@  
ТВОЙ ПЛАН ОДОБРИЛ ЙОБА",
"ТЫ ОБЫЧНЫЙ ЯЩЕР РАПТОР НИБИРОВИЧ 7300 ДО НАШЕЙ ЭРЫ ГОДА РОЖДЕНИЯ  
@  
СПОКОЙНО ЖИВЕШЬ В СТЕПЯХ ЕВРАЗИИ, ПАСЕШЬ ТИРАННОЗАВРОВ,ДА ОХОТИШЬСЯ НА МАМОНТОВ  
@  
НО ТУТ НА ВАШУ ЗЕМЛЮ ПРИХОДЯТ ДРЕВНИЕ РУСЫ И ХОТЯТ УСТАНОВИТЬ СВОИ ПОРЯДКИ И ЗАНИМАТЬСЯ ТАКИМ УЖАСНЫМ ДЕЛОМ КАК ЗЕМЛЕДЕЛИЕ  
@  
ВОЗМУЩЕННЫЕ, ВЫ СЕДЛАЕТЕ СВОИХ ТИРАННОЗАВРОВ И ИДЕТЕ ЗАЩИЩАТЬ СВОИ ЗЕМЛИ ОТ ЗЕМЛЕДЕЛИЯ  
@  
КОВАРНЫЕ РУСИЧИ ИСПОЛЬЗУЮТ МАГИЮ И ОБРАЩАЮТСЯ К СВОИМ ДУХАМ И ЗА СЧЕТ ЭТОГО ОТБИВАЮТ ВСЕ ВАШИ АТАКИ  
@  
ПОНИМАЯ,ЧТО НА ВАШЕЙ СТОРОНЕ НЕТ НИКАКИХ СВЕРХЪЕСТЕСТВЕННЫХ СИЛ ВЫ ПЫТАЕТЕСЬ СТРОИТЬ ХИТРЫЕ ПЛАНЫ   
И КОМБИНАЦИИ, ПРИДУМЫВАЕТЕ РАЗЛИЧНЫЕ ТАКТИКИ, ПРИМЕНЯЕТЕ ВСЕ ВАШИ ЗНАНИЯ И УМЕНИЯ, ЧТОБЫ ПОБЕДИТЬ  
@  
И ВОТ В ХОДЕ ОДНОЙ ВАШЕЙ ХИТРОЙ ОПЕРАЦИИ ВЫ БЕРЕТЕ В ПЛЕН КОМАНДИРА ДРЕВНИХ РУСОВ КАЗИМИРА И ОБЕЗГЛАВАЕТЕ  
@  
КАЗАЛОСЬ #победа  
@  
ДРЕВНИЕ РУСЫ ПОМОЛИЛИСЬ СВОЕМУ ПЕРУНУ И ВЫРЕЗАЛИ ВАС ВСЕХ  
@  
НА РЕАКТИВНОЙ ТЯГЕ УЛЕТАЕТЕ НА НИБИРУ, ВЕДЬ ТАМ НЕТ НИКАКИХ ДУХОВ",
"РЕШАЕШЬ РАБОТАТЬ НА СЕБЯ  
@  
ЗАБИЛ НА ОФОРМЛЕНИЕ САМОЗАНЯТОСТИ  
@  
ВЫКЛАДЫВАЕШЬ ОБЪЯВЛЕНИЕ  
@  
НИКТО НЕ ОТКЛИКНУЛСЯ  
@  
КРОМЕ НАЛОГОВОЙ",
"РЕШИЛ ВКАТИТЬСЯ В МИР ШАХМАТ  
@   
СКАЧАЛ САМОЕ РЕКОМЕНДОВАНОЕ И БОЛЕЕ МЕНЕЕ АДЕКВАТНОЕ ПО ФУНКЦИЯМ И ВИДУ ПРИЛОЖЕНИЕ БЕЗ РЕКЛАМЫ  
@   
ВЫБРАЛ НАЧИНАЮЩИЙ УРОВЕНЬ, ВЕДЬ НА НОВИЧКА ЯВНО НЕ КАТИШЬ Т.К. ЗНАЕШЬ ПРАВИЛА ИГРЫ, А ДО ПРОДВИНУТОГО ТЕБЕ ЕЩЕ ДАЛЕКО  
@   
В ПЕРВОЙ ЖЕ ИГРЕ СТАВЯТ МАТ ЗА НЕСКОЛЬКО ХОДОВ   
@   
НЕ УНЫВАЕШЬ, ВЕДЬ ЗНАЕШЬ, ЧТО НЕ САМЫЙ СИЛЬНЫЙ ИГРОК КАКИМ МОГ БЫ КАЗАТЬСЯ   
@   
В СЛЕДУЮЩЕЙ ИГРЕ СОПЕРНИК ПРОСТО НАСИЛУЕТ ТЕБЯ НЕ ДАВАЯ ВОЗМОЖНОСТИ ХОТЬ КАК ТО РАЗВИТЬ ФИГУРЫ ПОСТОЯННО В НАПАДЕНИИ И СЪЕДАЕТ КАЖДУЮ ТВОЮ ФИГУРУ СЛОВНО ОТРУБАЯ ПО КОНЕЧНОСТИ И РАСТЯГИВАЯ МОМЕНТ ДО СМЕРТИ   
@   
ВНОВЬ ЗАБИВАЕШЬ И ЗАПУСКАЕШЬ НОВУЮ ПАРТИЮ  
@   
КАКОЙ ТО КИТАЕЦ ПРОСТО ПОДСТАВЛЯЕТ СВОИ ФИГУРЫ И ПОСТОЯННО ХОДИТ НА УГАД НЕ ПОНИМАЯ КАК ВООБЩЕ В ЭТО ИГРАТЬ  
@   
ДРУГОЙ ПЫТАЕТСЯ ПОСТАВИТЬ МАТ ПО ГАЙДАМ ИЗ ИНТЕРНЕТА, НО ПОТЕРЯВ 1 ФИГУРУ СДАЕТСЯ   
@   
ЕЩЕ ОДИН ВНОВЬ УНИЧТОЖАЕТ ТЕБЯ БЕСШАНСОВО, ЗНАЯ ВСЕ ХОДЫ О КАКИХ ТЫ ТОЛЬКО МОЖЕШЬ ПОДУМАТЬ   
@   
НА 9 ИГРУ НАКОНЕЦ ТО НАЧИНАЕТСЯ НОРМАЛЬНОЕ СРАЖЕНИЕ   
@   
ВЫ СЛОВНО ФЕХТОВАЛЬЩИКИ ОБМЕНИВАЕТЕСЬ АТАКАМИ И НАПАДЕНИЯМИ   
@   
И ВОТ ВАШИ ФИГУРЫ РАСПРОСТРАНИЛИСЬ НА ВСЮ ДОСКУ   
@   
ПОВСЮДУ НАПРЯЖЕНИЕ И БУКВАЛЬНО 1 НЕВЕРНЫЙ ХОД И НАЧНЕТСЯ РЕЗНЯ НЕВЕРОЯТНЫХ МАСШТАБОВ   
@   
И ТУТ ОН ЗАБЫВАЕТ ПРО ТВОЮ ЛАЬЮ И ОТДАЕТ ТЕБЕ ФЕРЗЯ   
@   
ПОЙМАВ ЕГО НА ОШИБКЕ И ДОВОЛЬНО УЛЮЛЮКАЯ ПРЕДВКУШАЕШЬ ПРОДОЛЖЕНИЕ ЛЕГЕНДАРНОЙ БИТВЫ  
@   
СОПЕРНИК СДАЕТСЯ   
@   
РАЗОЧАРОВАВШИСЬ В ШАХМАТНОМ КОМЬЮНИТИ ОТПРАВЛЯЕШЬСЯ ИГРАТЬ К ДЕДУ ДОЕДУ, ОН ХОТЯ БЫ НЕ СДАЕТСЯ",
"ТЫ ОБЫЧНЫЙ СЫЧ 14 ЛВЛ  
@  
СОБИРАЕШЬСЯ В ШКОЛУ  
@  
ДЕЛАЕШЬ БУТЕРБРОД ИЗ КОЛБАСЫ, КУПЛЕННОЙ БАТЕЙ В ДАННЫЕ УДАЛЕНЫ В 1983 ГОДУ  
@  
СТАВИШЬ ИХ В РЮКЗАК И ЗАБЫВАЕШЬ О НИХ  
@  
НО ВОТ ПРЕДПОСЛЕДНИЙ УРОК  
@  
ТЫ ПРОГОЛОДАЛСЯ  
@  
ВСПОМИНАЕШЬ ПРО БУТЕРБРОДЫ  
@  
ДОСТАЕШЬ КОРОБКУ  
@  
НО ПОКА ТЫ ЕЁ НЕС, БУТЕРБРОДЫ СИНТЕЗИРОВАЛИ В УРАН-235 И ВПИТАЛИСЬ В СТЕНКИ КОРОБКИ  
@  
ТЫ ОТКРЫВАЕШЬ КОРОБКУ  
@  
МОМЕНТ ИСТИНЫ  
@  
ВСЕ ТВОИ ОДНОКЛАССНИКИ, ТАКИЕ ЖЕ СЫЧИ, КАК И ТЫ, РАЗБЕГАЮТСЯ В ПАНИКЕ  
@  
ВСЕ ТНИ ЗАКРЫЛИ НОСЫ ПЕРВЫМИ ПОПАВШИМИСЯ ТРЯПКАМИ  
@  
ПЛОХО СТАЛО ДАЖЕ ДИРЕКТОРУ/МЕДСЕСТРЕ/УБОРЩИКУ/АЛЛАХУ  
@  
ЕРОХА ПРИНЕС ПРОТИВОГАЗЫ И РАЗДАЛ ИХ ПОЛОВИНЕ ШКОЛЫ  
@  
ПРИЕХАЛИ МЧС ИЗ-ЗА ВЫЗОВА ОБ ИСПОЛЬЗОВАНИИ ХИМОРУЖИЯ  
@  
ДОВОЛЬНО УРЧИШЬ, ДОЕДАЯ КОРОБКУ",
"ПРЕЗЕЕЕЕЕРВАТИВЫ БАНАНОВЫЙ СТЕПА  
@  
ГЛАВНЫЙ ДРУГ ВАШЫВА ЧЛЕНА  
@  
ПРЕЗЕРВАТИВЫ БАНАНОВЫЙ СТЕПА   
@  
И ВАШ ЧЛЕН ОПЛААТИТ ВАМ ИПОТЕКУ!1",
"ПРОСЫПАЕШЬСЯ  
@   
ЗАВТРАКАЕШЬ  
@   
ДУШ  
@   
КОФЕ   
@   
ПОСРАТЬ  
@   
ОДЕВАЕШЬСЯ И ВЫХОДИШЬ  
@   
НАЧИНАЕТ ИГРАТЬ СТРАННАЯ, РАЗДРАЖАЮЩАЯ МЕЛОДИЯ  
@   
РЕЗКО ОТКРЫВАЕШЬ ГЛАЗА  
@   
ЭТО ЗВЕНИТ БУДИЛЬНИК   
@   
А ТЫ УЖЕ ПОСРАЛ",
"ЕРОХА ПРЕВРАТИЛСЯ В АВТОМОБИЛЬ  
@  
МЕРИН 63АМ  
@  
СЫЧ ПРЕВРАТИЛСЯ В АВТОМОБИЛЬ  
@  
пикрелейтед",
"ИНТЕРЕСУЕШЬСЯ ХИМИЕЙ/ФИЗИКОЙ/МАТЕМАТИКОЙ  
@  
ДУШНИЛА  
@  
ИНТЕРЕСУЕШЬСЯ ИСТОРИЕЙ/ГЕОГРАФИЕЙ/ФИЛОСОФИЕЙ  
@  
ДУШНИЛА  
@  
НИЧЕМ НЕ ИНТЕРЕСУЕШЬСЯ, НЕ ИМЕЕШЬ ЦЕЛЕЙ И АМБИЦИЙ В ЖИЗНИ, ЖИВЕШЬ В ОДНИМ ДНЕМ И ДУМАЕШЬ ТОЛЬКО КАК ВКУСНО ПОЕСТЬ, С КЕМ ПОЕБАТЬСЯ И ДОТКУ  
@  
ВО, НАШ ПАЦАН, МОЛОДЕЦ, ЧЕЛОВЕКОМ СТАЛ!",
"ИДЁШЬ ПРОВОЖАТЬ ЕОТ ПОСЛЕ ШКОЛЫ НА ЕЕ ОСТАНОВКУ  
@  
ВЕЧЕР  
@  
ЗИМА  
@  
ТЕМНО  
@  
НИКОГО НЕТ  
@  
В ТВОЕЙ ГОЛОВЕ УЖЕ РОДИЛСЯ ПЛАН, КАК ТЫ МЕДЛЕННО БЕРЕШЬ ЕЕ ЗА РУКУ, А КОГДА ОНА ВЗДРАГИВАЕТ , ПРЕДЛАГАЕШЬ ПОЦЕЛОВАТЬСЯ И НЕ ДОЖИДАЯСЬ ОТВЕТА ПРИСТУПАЕШЬ К ДЕЙСТВИЮ  
@  
И ВОТ, ТЫ НАКОНЕЦ РЕШИЛСЯ  
@  
БЕРЕШЬ ЗА РУКУ  
@  
НА МОМЕНТЕ, КОГДА НУЖНО БЫЛО ГОВОРИТЬ ""ДАВАЙ ПОЦЕЛУЕМСЯ"" МАМКИН ШУМАХЕР НА СВОЕЙ БИБИЛКЕ С ВЫХЛОПНОЙ ТРУБОЙ ОТ АБРАМСА НА СВЕРХЗУВОКОВОЙ СКОРОСТИ ПРОНОСИТСЯ СПЕЦИАЛЬНО ПОБЛИЖЕ К ОСТАНОВКЕ, ЗАГЛУШАЯ ТВОИ СЛОВА И СПУГИВАЯ ЕОТ, МОМЕНТ ПОТЕРЯН  
@  
ЕЕ РУКА ВЫСКАЛЬЗЫВАЕТ, ПОЛУЧАЕШЬ ПОЩЕЧИНУ, БОЛЬШЕ ОНА С ТОБОЙ НЕ ОБЩАЕТСЯ.",
"...  
@  
...  
@  
...  
@  
ЗУБОЧИСТКУ?",
